,,PDemand,QDemand
2021,368,6.74,17.69
2021,369,6.72,18.47
2021,370,6.73,18.33
2021,371,6.8,18.95
2021,372,6.85,18.82
2021,373,6.77,18.3
2021,374,6.68,18.2
2021,375,6.31,11.38
2021,376,6.14,11.94
2021,377,6.27,11.75
2021,378,6.43,13.44
2021,379,6.55,16.76
2021,380,6.55,16.98
2021,381,6.74,18.77
2021,382,6.61,19.35
2021,383,6.59,19.62
2021,384,6.56,19.57
2021,385,6.57,20.08
2021,386,6.56,19.88
2021,387,6.6,19.9
2021,388,6.61,19.81
2021,389,6.52,19.25
2021,390,6.56,18.52
2021,391,6.57,18.49
2021,392,6.56,18.77
2021,393,6.47,18.53
2021,394,6.52,15.99
2021,395,6.59,15.94
2021,396,6.61,19
2021,397,6.55,19.73
2021,398,6.59,19.79
2021,399,6.65,19.69
2021,400,6.69,19.64
2021,401,6.66,19.18
2021,402,6.64,18.67
2021,403,6.71,17.86
2021,404,6.65,17.68
2021,405,6.63,18.23
2021,406,6.55,16.86
2021,407,6.55,17.61
2021,408,6.56,18.78
2021,409,6.53,18.21
2021,410,6.55,17.87
2021,411,6.49,12.39
2021,412,6.23,11.6
2021,413,6.76,11.92
2021,414,6.67,12.74
2021,415,6.61,13.2
2021,416,6.58,13.49
2021,417,6.54,15.17
2021,418,6.45,16.8
2021,419,6.49,19.84
2021,420,6.49,19.55
2021,421,6.56,20.11
2021,422,6.51,20.02
2021,423,6.53,20.3
2021,424,6.51,19.32
2021,425,6.52,18.55
2021,426,6.56,18.94
2021,427,6.58,17.26
2021,428,6.63,18.53
2021,429,6.52,17.16
2021,430,6.48,17.79
2021,431,6.49,18.89
2021,432,6.51,18.41
2021,433,6.49,17.83
2021,434,6.48,17.11
2021,435,6.51,17.21
2021,436,6.47,17.56
2021,437,6.45,18.26
2021,438,6.46,18.53
2021,439,6.47,18.11
2021,440,6.48,18.22
2021,441,6.46,18.6
2021,442,6.46,16.49
2021,443,6.52,18.24
2021,444,6.65,15.95
2021,445,6.67,14.54
2021,446,6.55,14.71
2021,447,6.55,13.91
2021,448,6.48,14.16
2021,449,6.41,13.93
2021,450,6.42,13.51
2021,451,6.73,13.35
2021,452,6.57,16.05
2021,453,6.61,17.51
2021,454,6.55,18.34
2021,455,6.52,17.96
2021,456,6.58,18.03
2021,457,6.62,18.05
2021,458,6.62,19.04
2021,459,6.64,19.64
2021,460,6.7,19.32
2021,461,6.64,18.7
2021,462,6.62,18.83
2021,463,6.62,19.77
2021,464,6.64,18.6
2021,465,6.58,19.57
2021,466,6.58,20.57
2021,467,6.7,19.7
2021,468,6.75,18.89
2021,469,6.84,18.01
2021,470,6.7,19.29
2021,471,6.69,16.65
2021,472,6.66,18.74
2021,473,6.65,18.04
2021,474,6.64,18.42
2021,475,6.61,16.61
2021,476,6.71,17
2021,477,6.68,18.42
2021,478,6.43,16.62
2021,479,6.33,17.31
2021,480,6.41,18.11
2021,481,6.67,19.44
2021,482,6.65,18.69
2021,483,6.61,18.08
2021,484,6.64,17.9
2021,485,6.59,17.01
2021,486,6.57,16.33
2021,487,6.54,17.68
2021,488,6.54,18.86
2021,489,6.54,16.29
2021,490,6.6,18.83
2021,491,6.65,18.97
2021,492,6.56,12.94
2021,493,6.76,11.79
2021,494,6.68,12.17
2021,495,6.75,12.39
2021,496,6.68,12.68
2021,497,6.5,13.81
2021,498,6.58,12.3
2021,499,6.68,12.44
2021,500,6.63,12.81
2021,501,6.61,12.8
2021,502,6.58,13.5
2021,503,6.66,13.4
2021,504,6.62,15.89
2021,505,6.51,19.09
2021,506,6.54,18.37
2021,507,6.54,17.71
2021,508,6.53,16.33
2021,509,6.48,16.26
2021,510,6.51,17.51
2021,511,6.51,18.16
2021,512,6.52,18.85
2021,513,6.47,19.19
2021,514,6.56,19.09
2021,515,6.54,19.75
2021,516,6.56,20.53
2021,517,6.54,17.75
2021,518,6.63,18.13
2021,519,6.62,19.14
2021,520,6.6,18.8
2021,521,6.6,18.86
2021,522,6.61,19.15
2021,523,6.65,17.76
2021,524,6.78,18.18
2021,525,6.68,19.37
2021,526,6.66,19.47
2021,527,6.67,19.39
2021,528,6.65,19.67
2021,529,6.5,19.32
2021,530,6.58,18.37
2021,531,6.6,18.33
2021,532,6.76,18.83
2021,533,6.7,18.65
2021,534,6.32,19
2021,535,6.89,18.65
2021,536,6.64,17.5
2021,537,6.62,19.95
2021,538,6.47,20.11
2021,539,6.62,18.7
2021,540,6.66,18.44
2021,541,6.67,18.93
2021,542,6.71,18.46
2021,543,6.71,18.8
2021,544,6.73,19.01
2021,545,6.69,18.96
2021,546,6.73,19.76
2021,547,6.86,19.29
2021,548,6.79,17.29
2021,549,6.8,17.33
2021,550,6.68,18.54
2021,551,6.73,18.56
2021,552,6.71,19.26
2021,553,6.7,20.1
2021,554,6.77,18.08
2021,555,6.74,19.17
2021,556,6.67,20
2021,557,6.64,19.12
2021,558,6.62,18.29
2021,559,6.66,19.93
2021,560,6.63,18.32
2021,561,6.61,18.07
2021,562,6.69,19.41
2021,563,6.72,17.14
2021,564,6.78,18.75
2021,565,6.73,20.19
2021,566,6.74,15.16
2021,567,6.8,14.09
2021,568,6.79,12.59
2021,569,6.76,12.27
2021,570,6.75,12.26
2021,571,6.78,15.15
2021,572,6.87,13.01
2021,573,6.74,14.61
2021,574,6.79,13.43
2021,575,6.75,15.11
2021,576,6.72,14.99
2021,577,6.72,14.59
2021,578,6.69,13.99
2021,579,6.67,13.74
2021,580,6.68,13.8
2021,581,6.71,13.84
2021,582,6.65,13.9
2021,583,6.63,15.63
2021,584,6.67,14.67
2021,585,6.63,14.72
2021,586,6.65,15.19
2021,587,6.73,14.98
2021,588,6.81,14.99
2021,589,6.8,14.26
2021,590,6.85,14.87
2021,591,6.89,14.94
2021,592,6.81,15.5
2021,593,6.81,15.57
2021,594,6.84,13.27
2021,595,6.83,13.46
2021,596,6.88,13.18
2021,597,6.74,13.89
2021,598,6.71,14.54
2021,599,6.68,15.45
2021,600,6.67,14.73
2021,601,6.64,15.23
2021,602,6.7,15.51
2021,603,6.6,15.11
2021,604,6.63,14.95
2021,605,6.68,15.81
2021,606,6.61,16.18
2021,607,6.56,16.01
2021,608,6.72,15.09
2021,609,6.63,16.18
2021,610,6.65,16.45
2021,611,6.67,17.03
2021,612,6.75,17.22
2021,613,6.72,17.01
2021,614,6.67,17.04
2021,615,6.72,16.36
2021,616,6.7,16.36
2021,617,6.7,16.41
2021,618,6.72,15.21
2021,619,6.76,14.39
2021,620,6.85,15.53
2021,621,6.78,14.67
2021,622,6.69,14.64
2021,623,6.69,15.83
2021,624,6.68,15.59
2021,625,6.66,15.64
2021,626,6.63,15
2021,627,6.64,15
2021,628,6.56,16.11
2021,629,6.59,15.42
2021,630,6.54,15.69
2021,631,6.58,11.88
2021,632,6.56,12.11
2021,633,6.55,12.96
2021,634,6.64,15.76
2021,635,6.58,15.62
2021,636,6.6,14.86
2021,637,6.77,15.51
2021,638,6.75,15.26
2021,639,6.76,14.56
2021,640,6.75,14.81
2021,641,6.75,15.12
2021,642,6.72,16.05
2021,643,6.81,14.81
2021,644,6.79,15.05
2021,645,6.86,13.42
2021,646,6.79,13.19
2021,647,6.8,15.29
2021,648,6.77,15.42
2021,649,6.79,15.9
2021,650,6.74,15.71
2021,651,6.76,14.2
2021,652,6.74,14.27
2021,653,6.64,14.06
2021,654,6.74,14.68
2021,655,6.86,13.87
2021,656,6.86,13.32
2021,657,6.89,14.75
2021,658,6.79,15.39
2021,659,6.78,15.74
2021,660,6.84,14.41
2021,661,6.86,14.7
2021,662,6.85,15.28
2021,663,6.97,13.86
2021,664,6.85,14.99
2021,665,6.9,16.65
2021,666,6.87,15.3
2021,667,6.93,15.4
2021,668,6.95,16.41
2021,669,6.88,15.73
2021,670,6.85,17.67
2021,671,6.76,16.77
2021,672,6.8,16.67
2021,673,6.77,16.34
2021,674,6.75,15.45
2021,675,6.8,14.89
2021,676,6.73,14.26
2021,677,6.72,14.7
2021,678,6.72,15.41
2021,679,6.86,13.97
2021,680,6.84,14.25
2021,681,6.81,14.54
2021,682,6.86,13.08
2021,683,6.83,15.38
2021,684,6.79,14.87
2021,685,6.93,14.91
2021,686,6.84,13.82
2021,687,6.83,15.03
2021,688,6.86,15.54
2021,689,6.86,16.56
2021,690,6.86,15.77
2021,691,6.64,15.46
2021,692,6.78,15.67
2021,693,6.87,14.68
2021,694,6.82,15.69
2021,695,6.83,14.68
2021,696,6.75,13.38
2021,697,6.7,12.62
2021,698,6.65,14.85
2021,699,6.72,14.51
2021,700,6.71,15.21
2021,701,6.68,15.81
2021,702,6.74,14.8
2021,703,6.78,14.31
2021,704,6.72,13.88
2021,705,6.73,15.42
2021,706,6.77,13.06
2021,707,6.76,15.03
2021,708,6.83,14.81
2021,709,6.7,16.2
2021,710,6.68,15.48
2021,711,6.66,15.3
2021,712,6.61,15.07
2021,713,6.79,12.58
2021,714,6.71,14.54
2021,715,6.73,16.19
2021,716,6.72,17.36
2021,717,6.7,16.58
2021,718,6.66,16.08
2021,719,6.71,15.73
2021,720,6.75,15.57
2021,721,6.75,14.94
2021,722,6.74,15.24
2021,723,6.79,14.53
2021,724,6.87,13.99
2021,725,6.84,15.23
2021,726,6.86,15.29
2021,727,6.96,14.56
2021,728,6.94,14.78
2021,729,6.91,14.75
2021,730,6.91,15.31
2021,731,6.91,15.24
2021,732,6.97,15.13
2021,733,6.87,14.44
2021,734,6.87,15.88
2021,735,6.87,14.58
2021,736,6.86,15.32
2021,737,6.9,16.46
2021,738,6.87,16.26
2021,739,6.95,13.5
2021,740,6.85,15.62
2021,741,6.82,16.15
2021,742,6.81,15.97
2021,743,6.79,15.67
2021,744,6.82,15.23
2021,745,6.86,15.5
2021,746,6.82,16.07
2021,747,7,14.95
2021,748,6.82,13.51
2021,749,6.74,15.73
2021,750,6.72,13.93
2021,751,6.7,15.37
2021,752,6.73,14.82
2021,753,6.9,14.6
2021,754,6.79,14.73
2021,755,6.75,14.72
2021,756,6.74,15.84
2021,757,6.68,15.52
2021,758,6.68,15.9
2021,759,6.66,15.22
2021,760,6.63,14.26
2021,761,6.6,16.42
2021,762,6.63,15.84
2021,763,6.57,15.77
2021,764,6.7,15.11
2021,765,6.6,15.14
2021,766,6.58,15.29
2021,767,6.55,16.1
2021,768,6.58,14.98
2021,769,6.57,15.12
2021,770,6.54,15.48
2021,771,6.61,15.92
2021,772,6.58,15.58
2021,773,6.51,13.16
2021,774,6.54,14.62
2021,775,6.56,13.42
2021,776,6.5,15.56
2021,777,6.52,15.37
2021,778,6.52,15.57
2021,779,6.54,16.31
2021,780,6.54,16.06
2021,781,6.52,15.37
2021,782,6.53,15.63
2021,783,6.56,15.62
2021,784,6.57,15.37
2021,785,6.57,16.4
2021,786,6.54,16.22
2021,787,6.51,16.17
2021,788,6.55,15.48
2021,789,6.62,14.1
2021,790,6.52,16.39
2021,791,6.57,15.16
2021,792,6.57,15.98
2021,793,6.57,17.04
2021,794,6.59,16.17
2021,795,6.6,16.01
2021,796,6.56,16.18
2021,797,6.51,15.97
2021,798,6.55,16.64
2021,799,6.57,17.13
2021,800,6.53,17.01
2021,801,6.46,17.32
2021,802,6.45,17.61
2021,803,6.49,17.25
2021,804,6.53,17.4
2021,805,6.54,17.01
2021,806,6.52,16.38
2021,807,6.56,16.63
2021,808,6.46,16.82
2021,809,6.55,16.94
2021,810,6.54,16.2
2021,811,6.58,16.59
2021,812,6.51,16.15
2021,813,6.49,16.94
2021,814,6.42,16.75
2021,815,6.41,16.89
2021,816,6.41,17.1
2021,817,6.34,16.77
2021,818,6.47,15.66
2021,819,6.34,15.64
2021,820,5.62,12.84
2021,821,5.05,11.59
2021,822,5.04,12.39
2021,823,5,13.14
2021,824,4.85,13.73
2021,825,4.62,14.34
2021,826,4.54,15.21
2021,827,4.61,13.69
2021,828,4.64,15.07
2021,829,4.71,14.82
2021,830,4.73,14.44
2021,831,4.79,14.95
2021,832,4.87,15.47
2021,833,4.86,14.85
2021,834,4.91,13.63
2021,835,4.9,13.02
2021,836,4.98,12.89
2021,837,5.05,12.82
2021,838,4.97,12.74
2021,839,5.03,12.73
2021,840,5.01,9.49
2021,841,4.82,7.91
2021,842,4.85,8.34
2021,843,4.92,9.52
2021,844,4.8,9.99
2021,845,4.93,10.03
2021,846,4.91,10.8
2021,847,4.98,11.03
2021,848,5.04,10.52
2021,849,5.08,11.83
2021,850,5.1,12.42
2021,851,5.24,11.97
2021,852,5.29,11.4
2021,853,5.28,15.53
2021,854,5.24,15.24
2021,855,5.26,14.14
2021,856,5.3,13.32
2021,857,5.28,13.55
2021,858,5.27,12.31
2021,859,5.32,12.43
2021,860,6.01,12.14
2021,861,6.55,11.64
2021,862,6.43,14.63
2021,863,6.3,15.72
2021,864,6.42,15.06
2021,865,6.27,15.88
2021,866,6.34,15.7
2021,867,6.4,15.77
2021,868,6.37,16.07
2021,869,6.36,15.56
2021,870,6.38,15.65
2021,871,6.34,16.14
2021,872,6.33,15.61
2021,873,6.47,15.75
2021,874,6.52,16.53
2021,875,6.53,16.38
2021,876,6.8,16.63
2021,877,6.66,17.13
2021,878,6.65,16.67
2021,879,6.61,16.35
2021,880,6.66,15.87
2021,881,6.71,15.34
2021,882,6.74,14.62
2021,883,6.75,13.39
2021,884,6.58,14.44
2021,885,6.65,14.81
2021,886,6.57,15.39
2021,887,6.57,15.91
2021,888,6.59,15.66
2021,889,6.53,16.16
2021,890,6.53,15.25
2021,891,6.56,15.42
2021,892,6.56,15.66
2021,893,6.53,15.2
2021,894,6.46,15.07
2021,895,6.59,14.86
2021,896,6.37,11.72
2021,897,6.53,12.53
2021,898,6.45,13.42
2021,899,6.69,15.28
2021,900,6.77,16.25
2021,901,6.79,16.17
2021,902,6.82,15.53
2021,903,6.71,15.51
2021,904,6.87,14.99
2021,905,6.98,15.93
2021,906,6.75,16.67
2021,907,6.8,16.68
2021,908,6.73,14.55
2021,909,6.74,15.93
2021,910,6.62,15.02
2021,911,6.54,15.9
2021,912,6.47,15.2
2021,913,6.57,15.55
2021,914,6.25,13.18
2021,915,6.25,11.66
2021,916,6.66,12.55
2021,917,6.43,15.16
2021,918,6.42,15.08
2021,919,6.4,15.01
2021,920,6.43,15.47
2021,921,6.53,16.27
2021,922,6.51,17.1
2021,923,6.57,17.29
2021,924,6.74,17.72
2021,925,6.67,17.38
2021,926,6.68,16.7
2021,927,6.71,16.26
2021,928,6.72,16.61
2021,929,6.78,16.81
2021,930,6.76,15.45
2021,931,6.74,14.01
2021,932,6.88,15.31
2021,933,6.8,14.82
2021,934,6.65,15.21
2021,935,6.71,15.57
2021,936,6.7,15.37
2021,937,6.71,15.05
2021,938,6.68,13.54
2021,939,5.62,10.72
2021,940,5.9,14.26
2021,941,6,13.14
2021,942,5.75,13.32
2021,943,5.21,13.76
2021,944,4.97,13.78
2021,945,5.03,14.59
2021,946,5.09,15.06
2021,947,5.1,15.76
2021,948,5.27,14.86
2021,949,5.98,15.06
2021,950,6.38,14.64
2021,951,6.58,14.47
2021,952,6.67,14.75
2021,953,6.5,14.43
2021,954,6.39,13.88
2021,955,6.35,14.19
2021,956,6.49,13.08
2021,957,6.64,13.11
2021,958,6.56,13.25
2021,959,6.63,13.41
2021,960,6.67,13.43
2021,961,6.64,13.65
2021,962,6.61,14.84
2021,963,6.61,14.19
2021,964,6.6,13.69
2021,965,6.58,14.43
2021,966,6.54,14.93
2021,967,6.5,14.85
2021,968,6.51,14.83
2021,969,6.58,16.06
2021,970,6.59,15.93
2021,971,6.62,15.01
2021,972,6.69,15.88
2021,973,6.6,15.17
2021,974,6.53,15.95
2021,975,6.63,15.34
2021,976,6.57,14.84
2021,977,6.59,15.24
2021,978,6.64,15.82
2021,979,6.63,16.54
2021,980,6.69,15.46
2021,981,6.67,15.26
2021,982,6.61,15.03
2021,983,6.67,15.62
2021,984,6.67,15.91
2021,985,6.68,15.88
2021,986,6.67,15.39
2021,987,6.67,12.95
2021,988,6.77,15.74
2021,989,6.63,15.58
2021,990,6.6,13.92
2021,991,6.56,14.8
2021,992,6.57,12.88
2021,993,6.58,16.19
2021,994,6.63,15.38
2021,995,6.56,15.8
2021,996,6.79,15.96
2021,997,6.65,15.25
2021,998,6.65,15.1
2021,999,6.69,14.9
2021,1000,6.68,15.28
2021,1001,6.7,15.05
2021,1002,6.72,15.02
2021,1003,6.69,14.8
2021,1004,6.61,14.12
2021,1005,6.73,14.82
2021,1006,6.65,14.76
2021,1007,6.65,15.86
2021,1008,6.57,16.31
2021,1009,6.73,14
2021,1010,6.63,13.64
2021,1011,6.64,14.07
2021,1012,6.6,13.99
2021,1013,6.51,14.02
2021,1014,6.41,14.59
2021,1015,6.44,15.02
2021,1016,6.43,14.46
2021,1017,6.46,15.71
2021,1018,6.46,16.15
2021,1019,6.55,15.76
2021,1020,6.65,15.08
2021,1021,6.61,15.09
2021,1022,6.63,15.52
2021,1023,6.65,15.5
2021,1024,6.69,15.52
2021,1025,6.72,15.39
2021,1026,6.72,14.15
2021,1027,6.73,13.16
2021,1028,6.74,13.94
2021,1029,6.52,16.52
2021,1030,6.45,16.09
2021,1031,6.74,15.85
2021,1032,6.68,15.98
2021,1033,6.52,14.53
2021,1034,6.71,13.7
2021,1035,6.62,15.59
2021,1036,6.09,14.46
2021,1037,5.96,12.66
2021,1038,5.89,11.27
2021,1039,5.88,11.54
2021,1040,5.87,11.51
2021,1041,5.96,13.95
2021,1042,6.43,15.12
2021,1043,6.72,16.97
2021,1044,6.69,17.36
2021,1045,6.63,17.73
2021,1046,6.67,17.46
2021,1047,6.68,17.7
2021,1048,6.74,16.35
2021,1049,6.77,15.93
2021,1050,6.68,15.44
2021,1051,6.74,14.52
2021,1052,6.78,14.47
2021,1053,6.67,14.8
2021,1054,6.62,14.8
2021,1055,6.6,14.57
2021,1056,6.72,14.69
2021,1057,6.59,14.79
2021,1058,6.62,14.76
2021,1059,6.7,14.59
2021,1060,6.68,15.13
2021,1061,6.54,15
2021,1062,6.55,15.17
2021,1063,6.59,15.38
2021,1064,6.59,15.36
2021,1065,6.65,15.5
2021,1066,6.71,15.4
2021,1067,6.75,15.88
2021,1068,6.87,16.15
2021,1069,6.76,15.7
2021,1070,6.74,15.93
